tract,edu_hsplus,edu_bachelorsplus
42003010301,45.3,2.4
42003010302,21.0,34.5
42003020100,4.1,73.3
42003020300,4.0,88.4
42003030500,32.0,38.6
42003040200,29.2,39.7
42003040400,3.4,84.4
42003040500,13.7,24.0
42003040600,13.2,44.9
42003040900,23.0,51.4
42003050100,37.6,6.8
42003050600,21.7,38.9
42003050900,47.5,6.6
42003051000,24.4,15.4
42003051100,32.9,7.9
42003060300,16.0,67.2
42003060500,19.0,54.4
42003070300,12.8,72.0
42003070500,3.8,91.2
42003070600,1.6,87.7
42003070800,11.4,80.8
42003070900,8.1,81.2
42003080200,24.1,44.6
42003080400,11.3,64.4
42003080600,9.2,76.9
42003080700,7.3,77.4
42003080900,13.4,62.7
42003090100,13.7,58.1
42003090200,17.6,61.3
42003090300,20.9,48.6
42003100500,21.3,37.3
42003101100,24.0,51.5
42003101400,21.0,52.5
42003101800,20.0,50.7
42003101900,33.3,32.2
42003110200,13.4,68.4
42003110600,13.4,70.9
42003111300,16.3,52.7
42003111400,23.5,41.3
42003111500,18.9,50.4
42003120300,34.5,30.4
42003120900,34.1,8.3
42003130200,45.4,15.9
42003130600,50.1,17.7
42003130700,45.8,11.3
42003130800,43.8,10.1
42003140100,6.9,83.5
42003140200,4.0,86.6
42003140300,10.3,84.1
42003140400,3.9,88.6
42003140500,8.9,68.8
42003140800,8.3,81.3
42003141100,22.2,58.3
42003141200,7.1,80.8
42003141300,13.9,71.4
42003141400,9.9,73.9
42003151600,27.6,51.6
42003151700,16.2,53.5
42003160800,26.5,34.0
42003160900,14.3,68.7
42003161000,47.1,15.6
42003170200,20.5,60.2
42003170600,24.6,45.7
42003180300,31.5,20.5
42003180700,27.8,38.4
42003190300,21.3,62.4
42003191100,21.2,52.0
42003191400,20.6,54.4
42003191500,31.2,33.0
42003191600,33.3,26.6
42003191700,34.6,35.2
42003191800,42.9,27.1
42003191900,27.1,38.5
42003192000,30.3,29.3
42003202200,35.6,29.0
42003202300,30.7,43.5
42003241300,32.1,36.9
42003250900,44.3,23.1
42003260200,35.4,29.8
42003260700,20.8,31.2
42003261300,37.4,24.8
42003261400,33.0,37.1
42003261500,29.3,28.5
42003262000,42.4,10.6
42003270100,25.4,42.6
42003270300,24.2,27.8
42003270800,19.6,37.5
42003271600,41.6,16.1
42003281400,28.1,24.5
42003281500,38.8,25.8
42003290100,49.9,12.8
42003290200,36.3,24.4
42003290400,31.6,25.9
42003300100,43.8,17.1
42003310200,44.0,15.7
42003320400,42.9,13.0
42003320600,28.5,39.4
42003320700,36.2,18.9
42003401100,39.1,28.1
42003401200,39.6,19.0
42003401300,38.1,22.2
42003402000,45.2,20.0
42003403500,47.3,15.4
42003404000,29.1,30.8
42003405000,44.2,21.5
42003406000,45.1,23.8
42003407001,38.6,30.2
42003407002,27.7,36.6
42003408001,20.3,57.3
42003408002,20.8,56.1
42003409001,10.5,71.0
42003409002,6.3,82.5
42003410000,7.6,66.1
42003411001,8.1,78.6
42003411002,11.2,74.0
42003412002,5.8,78.0
42003412003,8.6,74.7
42003412004,10.5,66.2
42003413100,11.2,64.2
42003413201,18.4,50.9
42003413202,22.7,53.4
42003413300,23.3,50.6
42003413400,17.6,63.4
42003413500,19.9,59.1
42003414101,17.1,61.0
42003414102,17.3,56.6
42003414200,21.5,50.2
42003415001,21.7,55.2
42003415002,21.3,50.1
42003416000,32.6,20.7
42003417100,32.9,34.2
42003417200,37.0,23.2
42003418000,27.9,45.6
42003419000,26.2,41.6
42003420000,27.7,41.1
42003421100,13.2,70.7
42003421200,16.9,60.0
42003422000,5.6,82.4
42003423000,11.2,77.2
42003424000,38.1,27.8
42003425000,35.4,25.2
42003426300,30.8,40.0
42003426400,27.2,38.8
42003426700,22.4,34.7
42003426800,27.8,33.8
42003427000,38.1,22.2
42003427100,32.9,39.9
42003427200,40.7,29.3
42003428100,41.9,21.0
42003428200,34.1,32.0
42003429100,24.7,41.6
42003429201,13.8,64.8
42003429202,13.8,59.1
42003429300,26.8,41.0
42003429400,20.5,48.4
42003429500,21.8,46.9
42003429600,23.7,46.0
42003429700,38.5,29.7
42003430100,25.7,30.1
42003430200,39.5,33.4
42003431100,20.0,47.6
42003431400,34.5,35.5
42003431500,24.7,41.9
42003432300,32.5,27.9
42003432400,24.9,35.8
42003434000,12.0,63.0
42003435000,27.8,42.2
42003437000,14.4,61.8
42003439000,27.3,51.9
42003445500,9.6,61.8
42003446000,7.5,80.7
42003447000,18.6,44.1
42003448000,32.7,31.7
42003449000,29.4,27.9
42003450700,33.5,30.8
42003450800,37.0,26.4
42003451101,17.2,55.3
42003451102,27.3,48.7
42003451104,10.8,56.9
42003451105,14.7,58.0
42003451300,18.3,60.4
42003452000,27.2,43.7
42003453003,27.2,31.5
42003453004,22.3,40.5
42003455000,36.4,28.6
42003456001,22.1,47.7
42003456003,16.4,62.1
42003456004,27.3,44.0
42003457100,35.8,24.2
42003457200,37.5,26.1
42003458001,20.3,64.3
42003458002,39.4,35.0
42003459101,30.7,32.6
42003459102,18.8,49.6
42003459201,24.5,52.2
42003459202,19.9,57.9
42003460001,39.0,29.4
42003460002,30.3,45.9
42003461000,36.4,21.3
42003462100,40.2,12.3
42003462600,39.2,13.5
42003463900,39.8,13.1
42003464300,31.7,23.2
42003464400,45.9,19.0
42003465600,30.7,37.4
42003465800,24.0,32.4
42003468700,25.1,36.6
42003468800,26.5,36.2
42003468900,29.5,34.4
42003469000,18.2,47.0
42003470300,28.0,41.2
42003470400,22.6,50.6
42003470501,9.3,72.8
42003470502,20.9,56.7
42003470600,42.3,28.8
42003471000,37.1,23.5
42003472100,21.2,45.1
42003472200,15.3,52.1
42003472300,22.8,48.8
42003472400,26.3,43.9
42003473100,11.0,72.9
42003473200,12.9,66.4
42003473300,15.3,66.8
42003473401,9.2,66.8
42003473402,7.0,67.9
42003473500,7.6,80.5
42003473601,8.3,79.4
42003473602,13.5,61.6
42003474101,11.9,64.8
42003474102,10.0,63.4
42003474201,12.7,72.7
42003474202,14.1,70.8
42003474203,11.3,72.5
42003475101,26.1,40.1
42003475102,21.4,43.6
42003475200,21.9,50.6
42003475301,22.9,48.4
42003475303,21.8,50.3
42003475304,21.9,53.6
42003475401,25.2,46.3
42003475402,13.4,49.5
42003476100,31.5,36.5
42003476200,33.7,38.1
42003477100,23.0,42.6
42003477200,29.5,36.7
42003477300,30.1,35.9
42003478100,27.8,32.4
42003478200,35.6,26.1
42003479000,24.8,32.3
42003480101,27.1,32.3
42003480102,40.2,25.2
42003480200,26.3,37.8
42003480300,39.1,27.9
42003480400,42.7,27.1
42003481000,41.7,16.0
42003482500,33.0,33.7
42003483800,32.4,13.2
42003484300,34.4,24.0
42003484500,39.3,26.5
42003484600,33.1,20.1
42003485000,48.0,15.6
42003486700,49.9,8.6
42003486800,33.7,9.1
42003486900,37.3,15.2
42003487000,41.3,15.4
42003488100,51.3,17.3
42003488200,39.9,17.1
42003488300,41.8,23.5
42003488400,42.2,22.4
42003488500,36.4,20.6
42003488600,33.0,24.1
42003489001,24.8,37.0
42003489002,20.2,45.7
42003490002,31.1,28.8
42003490003,24.0,43.3
42003490004,28.7,38.8
42003491101,18.1,54.2
42003491200,30.4,40.0
42003492700,39.0,20.4
42003492800,43.2,11.3
42003492900,41.2,17.9
42003494000,45.8,18.4
42003495000,45.4,22.4
42003496101,36.9,30.8
42003496102,45.6,26.8
42003496200,33.5,31.2
42003497000,39.3,17.3
42003498000,33.0,26.5
42003499300,44.5,14.9
42003499400,44.7,14.4
42003500300,39.5,14.6
42003501000,53.5,9.0
42003503002,38.9,30.7
42003504100,40.7,17.7
42003507000,40.9,20.3
42003508000,35.8,17.8
42003509400,35.7,10.6
42003510000,43.6,14.5
42003512000,49.6,8.2
42003513000,47.0,15.8
42003513800,52.0,10.7
42003514000,35.9,23.7
42003515100,21.4,31.5
42003515200,31.9,44.9
42003515300,24.0,26.7
42003515401,13.1,59.4
42003516100,7.3,70.7
42003516200,13.0,66.4
42003517000,34.8,23.1
42003518001,19.8,64.0
42003519000,15.4,66.6
42003520001,22.5,41.3
42003520002,29.3,32.8
42003521100,21.0,40.4
42003521200,21.5,39.3
42003521301,26.8,42.5
42003521302,33.9,35.2
42003521401,27.1,48.1
42003521402,14.3,57.8
42003521500,21.6,39.6
42003522000,39.2,12.5
42003523100,31.6,25.9
42003523200,34.4,34.5
42003523300,28.5,41.1
42003523400,21.0,26.8
42003523501,36.3,26.8
42003523502,32.9,31.2
42003523600,23.5,37.4
42003523701,38.3,21.7
42003523702,31.0,27.5
42003523800,34.0,36.8
42003524000,40.5,22.1
42003525100,16.8,56.4
42003525200,20.4,55.4
42003525300,22.6,49.3
42003526101,22.4,43.5
42003526102,40.6,28.2
42003526201,25.3,35.3
42003526202,32.1,33.5
42003526301,30.5,35.6
42003526302,24.9,40.1
42003550900,44.3,7.0
42003551200,36.1,17.6
42003551300,41.5,23.0
42003551900,37.8,5.4
42003552000,55.6,6.8
42003552100,47.6,6.8
42003552200,43.3,20.7
42003552300,33.3,11.1
42003552400,44.6,17.6
42003560400,16.4,55.3
42003560500,6.9,79.6
42003561400,29.8,29.3
42003561500,22.8,34.0
42003561900,40.6,20.6
42003562000,6.8,71.8
42003562300,38.2,28.6
42003562400,45.4,19.6
42003562500,40.3,17.6
42003562600,39.6,13.9
42003562700,14.7,67.3
42003562800,31.5,36.9
42003562901,22.7,33.2
42003563000,29.8,30.9
42003563100,27.7,35.0
42003563201,7.6,74.7
42003563202,21.8,44.7
42003563300,11.7,73.4
42003563800,24.2,47.5
42003563900,22.5,51.1
42003564000,28.9,43.6
42003564100,8.1,76.8
42003564200,43.3,28.0
42003564400,41.2,25.7
42003564500,32.3,24.1
42003564700,26.2,15.0
42003564800,35.1,10.9
42003565100,24.1,47.8
42003565200,23.0,34.2
42003565300,32.8,32.5
42003980000,-,-
42003980100,-,-
42003980300,-,-
42003980400,-,-
42003980500,17.4,21.7
42003980600,100.0,0.0
42003980700,-,-
42003980800,-,-
42003980900,58.7,0.0
42003981000,-,-
42003981100,-,-
42003981200,-,-
42003981800,66.0,13.7
42003982200,23.5,23.5
