tract,households_avg_size
42003010300,1.80
42003020100,1.33
42003020300,1.59
42003030500,1.75
42003040200,2.18
42003040400,1.74
42003040500,2.43
42003040600,2.49
42003040900,2.43
42003050100,1.80
42003050600,2.06
42003050900,1.52
42003051000,1.79
42003051100,1.88
42003060300,2.03
42003060500,1.89
42003070300,1.72
42003070500,1.64
42003070600,1.58
42003070800,1.67
42003070900,1.74
42003080200,1.93
42003080400,1.89
42003080600,1.88
42003080700,1.55
42003080900,1.79
42003090100,2.02
42003090200,1.91
42003090300,1.94
42003100500,2.31
42003101100,2.28
42003101400,2.22
42003101600,2.66
42003101700,2.38
42003101800,2.32
42003110200,1.87
42003110600,2.45
42003111300,2.06
42003111400,2.42
42003111500,1.65
42003120300,2.14
42003120400,2.20
42003120700,2.03
42003120800,2.44
42003130100,2.23
42003130200,2.42
42003130300,1.79
42003130400,2.49
42003130600,2.22
42003140100,2.50
42003140200,2.14
42003140300,2.49
42003140400,2.38
42003140500,1.86
42003140600,2.24
42003140800,2.30
42003141000,2.04
42003141100,2.27
42003141300,2.07
42003141400,1.96
42003151600,2.27
42003151700,2.16
42003160800,2.24
42003160900,1.55
42003170200,2.12
42003170600,2.30
42003180300,2.36
42003180700,2.77
42003190300,1.81
42003191100,2.03
42003191400,1.90
42003191500,1.96
42003191600,2.28
42003191700,2.18
42003191800,2.21
42003191900,2.20
42003192000,2.07
42003202200,2.10
42003202300,2.11
42003210700,2.21
42003220600,1.53
42003240600,2.04
42003241200,2.12
42003250300,3.03
42003250700,3.19
42003250900,1.95
42003260200,2.28
42003260700,2.81
42003260900,3.39
42003261200,2.15
42003261400,2.12
42003261500,2.28
42003262000,2.15
42003270100,2.46
42003270300,2.27
42003270400,2.11
42003270800,2.19
42003271500,2.40
42003281400,2.26
42003281500,2.33
42003290100,2.18
42003290200,2.14
42003290400,2.37
42003300100,2.98
42003310200,2.31
42003310300,2.77
42003320400,2.29
42003320600,2.24
42003320700,2.36
42003401100,2.36
42003401200,2.59
42003401300,2.32
42003402000,2.35
42003403500,2.50
42003404000,2.20
42003405000,2.27
42003406000,2.58
42003407001,2.28
42003407002,2.56
42003408001,2.73
42003408002,2.77
42003409000,3.06
42003410000,2.66
42003411000,3.15
42003412001,2.89
42003412002,3.04
42003413100,2.63
42003413201,2.43
42003413202,2.28
42003413300,2.47
42003413400,2.72
42003413500,2.05
42003414101,2.71
42003414102,2.45
42003414200,2.57
42003415001,2.79
42003415002,2.51
42003416000,2.01
42003417100,2.46
42003417200,1.91
42003418000,2.07
42003419000,1.93
42003420000,1.81
42003421100,2.40
42003421200,2.44
42003422000,2.86
42003423000,2.05
42003424000,2.12
42003425000,2.16
42003426300,2.45
42003426400,2.19
42003426700,2.02
42003426800,2.64
42003427000,2.12
42003427100,2.60
42003427200,2.21
42003428100,2.67
42003428200,2.26
42003429100,2.39
42003429201,2.41
42003429202,2.41
42003429300,2.07
42003429400,2.33
42003429500,1.77
42003429600,2.19
42003429700,2.19
42003430100,2.24
42003430200,2.29
42003431100,2.14
42003431400,1.93
42003431500,1.99
42003432300,1.90
42003432400,1.94
42003434000,2.51
42003435000,2.15
42003437000,2.59
42003439000,2.55
42003445500,2.08
42003446000,2.81
42003447000,2.83
42003448000,2.08
42003449000,2.37
42003450700,2.23
42003450800,2.10
42003451101,2.38
42003451102,2.23
42003451104,2.76
42003451105,1.90
42003451300,2.64
42003452000,2.46
42003453003,2.52
42003453004,2.32
42003455000,2.35
42003456001,2.87
42003456003,2.75
42003456004,2.14
42003457100,1.97
42003457200,2.06
42003458000,2.25
42003459101,2.25
42003459102,2.44
42003459201,2.20
42003459202,1.41
42003460001,2.18
42003460002,2.63
42003461000,1.88
42003462100,2.32
42003462600,2.12
42003463900,1.99
42003464300,2.26
42003464400,2.08
42003465600,2.00
42003465800,2.28
42003468700,2.15
42003468800,2.08
42003468900,2.03
42003469000,2.27
42003470300,2.20
42003470400,2.24
42003470501,2.01
42003470502,2.19
42003470600,2.20
42003471000,2.07
42003472100,2.00
42003472200,2.26
42003472300,1.95
42003472400,2.22
42003473100,2.26
42003473200,2.03
42003473300,2.39
42003473401,2.46
42003473402,2.45
42003473500,2.79
42003473601,2.44
42003473602,2.20
42003474101,2.80
42003474102,2.86
42003474201,2.90
42003474202,2.53
42003474203,2.86
42003475101,2.07
42003475102,2.56
42003475200,2.67
42003475301,2.18
42003475303,2.71
42003475304,2.50
42003475401,2.56
42003475402,2.72
42003476100,2.06
42003476200,2.44
42003477100,2.29
42003477200,2.29
42003477300,2.11
42003478100,2.18
42003478200,2.27
42003479000,2.32
42003480101,2.39
42003480102,2.43
42003480200,2.31
42003480300,2.48
42003480400,2.22
42003481000,2.26
42003482500,2.32
42003483800,2.13
42003484300,1.86
42003484500,2.25
42003484600,2.21
42003485000,2.32
42003486700,2.07
42003486800,2.33
42003486900,2.24
42003487000,2.17
42003488100,2.54
42003488200,2.53
42003488300,2.37
42003488400,2.43
42003488500,2.33
42003488600,2.31
42003489001,2.26
42003489002,2.53
42003490002,2.34
42003490003,2.58
42003490004,2.60
42003491101,2.60
42003491200,2.11
42003492700,2.12
42003492800,2.07
42003492900,2.02
42003494000,2.21
42003495000,2.38
42003496101,2.59
42003496102,2.53
42003496200,2.30
42003497000,2.37
42003498000,2.46
42003499300,2.17
42003499400,2.20
42003500300,2.14
42003501000,2.05
42003503002,2.14
42003504100,2.17
42003507000,2.15
42003508000,1.86
42003509400,2.08
42003510000,2.46
42003512000,2.25
42003512800,2.02
42003512900,2.57
42003513800,2.61
42003514000,2.43
42003515100,1.94
42003515200,1.81
42003515300,2.01
42003515401,2.07
42003516100,2.13
42003516200,2.08
42003517000,1.76
42003518001,2.13
42003519000,2.29
42003520001,2.13
42003520002,2.14
42003521100,2.60
42003521200,2.09
42003521301,2.08
42003521302,1.98
42003521401,2.41
42003521402,2.65
42003521500,2.30
42003522000,2.19
42003523100,2.51
42003523200,2.35
42003523300,2.38
42003523400,2.12
42003523501,2.20
42003523502,2.35
42003523600,2.17
42003523701,2.32
42003523702,2.14
42003523800,2.09
42003524000,2.24
42003525100,2.08
42003525200,1.66
42003525300,2.38
42003526101,2.48
42003526102,2.47
42003526201,2.53
42003526202,2.50
42003526301,2.74
42003526302,2.41
42003550900,2.21
42003551200,2.06
42003551300,2.22
42003551900,1.56
42003552000,2.79
42003552100,1.78
42003552200,2.12
42003552300,2.20
42003552400,2.24
42003560400,1.70
42003560500,1.91
42003560600,1.98
42003561000,2.36
42003561100,2.18
42003561200,2.30
42003561400,1.81
42003561500,2.15
42003561600,2.59
42003561700,2.72
42003561900,2.48
42003562000,1.77
42003562300,2.34
42003562400,2.37
42003562500,2.76
42003562600,2.60
42003562700,1.73
42003562800,2.07
42003562900,2.10
42003563000,2.32
42003563100,2.09
42003563200,1.69
42003563300,2.78
42003563800,2.13
42003563900,2.08
42003564000,2.57
42003564100,2.65
42003564200,2.14
42003564400,2.12
42003564500,2.53
42003980000,1.50
42003980400,1.38
42003980500,2.30
42003980700,2.71
42003981000,2.00
42003981800,1.92
42003982200,3.14
